iter	RMSE
0	12.81426713
1	12.72951813
2	12.64733735
3	12.58403809
4	12.5005606
5	12.42083328
6	12.33477235
7	12.26175536
8	12.17191325
9	12.06959299
10	11.97901296
11	11.89696858
12	11.83786595
13	11.76909126
14	11.71035255
15	11.64356198
16	11.6009733
17	11.54491062
18	11.49206429
19	11.43638225
20	11.35658524
21	11.28752197
22	11.22886418
23	11.16087954
24	11.10908122
25	11.0597999
26	10.99675278
27	10.9424293
28	10.90794466
29	10.86091399
30	10.81020375
31	10.76125776
32	10.72228236
33	10.67547629
34	10.61976192
35	10.57690078
36	10.52386248
37	10.47104396
38	10.43846744
39	10.39421342
40	10.34163962
41	10.30674683
42	10.28069156
43	10.24360234
44	10.19981722
45	10.16049335
46	10.11186089
47	10.06661901
48	10.03552289
49	9.99153556
50	9.942242754
51	9.912987551
52	9.85557677
53	9.830974992
54	9.789048887
55	9.736859666
56	9.702968059
57	9.659855626
58	9.634398569
59	9.612441583
60	9.582373018
61	9.563961936
62	9.536800404
63	9.482588597
64	9.444286267
65	9.42675971
66	9.411137587
67	9.388526425
68	9.359662282
69	9.323335694
70	9.309966778
71	9.278858324
72	9.264029516
73	9.226068145
74	9.189322722
75	9.143020402
76	9.114546387
77	9.080114067
78	9.067663662
79	9.031158076
80	9.00984937
81	8.979264624
82	8.951395386
83	8.917088639
84	8.892941981
85	8.87597056
86	8.84885863
87	8.838501299
88	8.790514684
89	8.776752267
90	8.753206709
91	8.735397777
92	8.698820932
93	8.681413412
94	8.667473398
95	8.634666004
96	8.620426175
97	8.603238338
98	8.58198622
99	8.556803856
100	8.53391139
101	8.505011304
102	8.465908755
103	8.436566823
104	8.418067481
105	8.408661489
106	8.363492356
107	8.349234023
108	8.334445548
109	8.318196278
110	8.287264717
111	8.276223532
112	8.250965491
113	8.224007428
114	8.18379581
115	8.150674952
116	8.13403697
117	8.115218048
118	8.090224351
119	8.071873745
120	8.058377584
121	8.033268236
122	8.020337121
123	7.992502969
124	7.971262376
125	7.934893256
126	7.923136324
127	7.90118442
128	7.891955274
129	7.883889222
130	7.858548646
131	7.849488205
132	7.829200039
133	7.819037689
134	7.795799051
135	7.768934749
136	7.756891278
137	7.723430727
138	7.696266555
139	7.669242883
140	7.646098874
141	7.621190612
142	7.603127275
143	7.574333166
144	7.55849967
145	7.546144492
146	7.527722394
147	7.5132952
148	7.491238187
149	7.484700333
150	7.478732209
151	7.472493341
152	7.452071719
153	7.430246372
154	7.41376369
155	7.388932087
156	7.379361734
157	7.357761642
158	7.338640606
159	7.326074209
160	7.289366851
161	7.275955841
162	7.270597817
163	7.255141782
164	7.244657362
165	7.224936072
166	7.206738492
167	7.191377824
168	7.175532509
169	7.165462262
170	7.157320917
171	7.135580826
172	7.119562205
173	7.109103861
174	7.100301784
175	7.081984587
176	7.072683662
177	7.041105321
178	7.019907226
179	7.008085865
180	6.991290031
181	6.975630348
182	6.954851166
183	6.939107349
184	6.930076761
185	6.910496342
186	6.896387918
187	6.886988388
188	6.878193675
189	6.870921417
190	6.840081559
191	6.822975762
192	6.815461386
193	6.805641098
194	6.800719071
195	6.79169221
196	6.781940216
197	6.778687347
198	6.764473222
199	6.751497575
200	6.730571047
201	6.723036107
202	6.714814575
203	6.696834788
204	6.689424109
205	6.673863331
206	6.658351602
207	6.647202695
208	6.637001581
209	6.623743862
210	6.615001036
211	6.607372481
212	6.588235566
213	6.579098107
214	6.554649368
215	6.544741756
216	6.538729358
217	6.51675134
218	6.500043699
219	6.482750244
220	6.473344972
221	6.466433272
222	6.46115217
223	6.448433653
224	6.43164496
225	6.419646888
226	6.412528286
227	6.39494457
228	6.385866739
229	6.377336909
230	6.37095478
231	6.359080101
232	6.347461915
233	6.343135898
234	6.335424629
235	6.327837704
236	6.314404522
237	6.307429651
238	6.298557052
239	6.29268759
240	6.283930278
241	6.275097451
242	6.268744507
243	6.26329408
244	6.246998466
245	6.241116706
246	6.232950585
247	6.224864135
248	6.216905367
249	6.210097424
250	6.20382742
251	6.195630204
252	6.189473584
253	6.185259835
254	6.174846551
255	6.16511344
256	6.15403249
257	6.1424693
258	6.137540535
259	6.129382877
260	6.114065149
261	6.107537088
262	6.102168876
263	6.0930746
264	6.089100635
265	6.083695696
266	6.075530351
267	6.064305281
268	6.056469523
269	6.050838148
270	6.045331164
271	6.038974796
272	6.027693276
273	6.02132485
274	6.014178269
275	6.009446262
276	6.002684328
277	5.993397757
278	5.986470165
279	5.981321159
280	5.975516304
281	5.96856908
282	5.962728542
283	5.957732375
284	5.954170324
285	5.947371284
286	5.943189779
287	5.932561012
288	5.928449174
289	5.923536132
290	5.913805419
291	5.908051989
292	5.886337784
293	5.872468914
294	5.866478356
295	5.861139107
296	5.85485853
297	5.848005975
298	5.842259314
299	5.816808084
300	5.807526919
301	5.79878501
302	5.793353902
303	5.788845304
304	5.784660106
305	5.779914137
306	5.774084086
307	5.76824441
308	5.764539099
309	5.760048706
310	5.755516643
311	5.750833192
312	5.747466313
313	5.74309316
314	5.737109177
315	5.734050029
316	5.730838503
317	5.727348813
318	5.707504827
319	5.701853075
320	5.696123523
321	5.67946452
322	5.675222619
323	5.668808006
324	5.65540604
325	5.65204359
326	5.646309476
327	5.638712603
328	5.624390554
329	5.621316348
330	5.5986024
331	5.592805549
332	5.590419875
333	5.587426027
334	5.583477847
335	5.580695656
336	5.577378004
337	5.565425106
338	5.562477663
339	5.558716771
340	5.551225539
341	5.546211177
342	5.54334102
343	5.540997326
344	5.538311544
345	5.535354098
346	5.532498257
347	5.53007238
348	5.527458729
349	5.524512497
350	5.520906902
351	5.51386628
352	5.497592948
353	5.495316767
354	5.493071891
355	5.491249297
356	5.48889605
357	5.479137509
358	5.476149243
359	5.471808724
360	5.464977751
361	5.462437031
362	5.460522581
363	5.458684419
364	5.455774231
365	5.45323348
366	5.450104836
367	5.448330295
368	5.43299657
369	5.430941787
370	5.428224091
371	5.426642257
372	5.419555251
373	5.417616473
374	5.415497645
375	5.413590053
376	5.412039949
377	5.409945367
378	5.408271353
379	5.406840583
380	5.405122247
381	5.40336422
382	5.401564235
383	5.400065793
384	5.385986887
385	5.379244108
386	5.377698343
387	5.376106383
388	5.374662414
389	5.372995793
390	5.353135804
391	5.349574291
392	5.348122226
393	5.346573682
394	5.344959466
395	5.343266888
396	5.341485832
397	5.338341032
398	5.322100254
399	5.320743425
400	5.315940689
401	5.299035013
402	5.297655667
403	5.296349338
404	5.295123692
405	5.288981715
406	5.284378033
407	5.282989411
408	5.281446578
409	5.279962873
410	5.278623969
411	5.277343692
412	5.275131648
413	5.270487995
414	5.268620228
415	5.267329137
416	5.265519155
417	5.2454216
418	5.239102444
419	5.235193472
420	5.234025181
421	5.218477194
422	5.215157044
423	5.212807296
424	5.206361316
425	5.205238357
426	5.192300736
427	5.191092455
428	5.184744191
429	5.183712135
430	5.181551919
431	5.179728769
432	5.16854303
433	5.167396364
434	5.165860687
435	5.15197122
436	5.145767564
437	5.141980575
438	5.139970652
439	5.138770728
440	5.126969931
441	5.109074959
442	5.107836676
443	5.106218095
444	5.105106115
445	5.093826728
446	5.089581773
447	5.07788082
448	5.063681236
449	5.054592393
450	5.05322101
451	5.052174508
452	5.050404369
453	5.048330182
454	5.047187515
455	5.0422315
456	5.03952508
457	5.03464061
458	5.01788701
459	5.016626055
460	5.002126812
461	4.996432015
462	4.995100548
463	4.989124269
464	4.987062224
465	4.986002936
466	4.984912969
467	4.974773798
468	4.961718262
469	4.954684067
470	4.951628406
471	4.944031451
472	4.943103631
473	4.934709225
474	4.930711879
475	4.918271558
476	4.914336632
477	4.913136513
478	4.912126051
479	4.901806801
480	4.892472898
481	4.891399308
482	4.88115127
483	4.87202185
484	4.871027901
485	4.865938757
486	4.862454478
487	4.858064898
488	4.856824014
489	4.843996993
490	4.838206925
491	4.836881211
492	4.835474016
493	4.834608717
494	4.832067413
495	4.820731727
