iter	Passed	Remaining
0	2	1876
1	4	1790
2	6	1788
3	8	1798
4	10	1787
5	12	1749
6	14	1745
7	16	1722
8	18	1696
9	20	1691
10	22	1676
11	24	1664
12	25	1652
13	27	1648
14	29	1645
15	31	1645
16	33	1640
17	35	1636
18	37	1628
19	39	1630
20	41	1626
21	43	1618
22	45	1627
23	47	1638
24	49	1637
25	52	1638
26	53	1629
27	55	1627
28	57	1617
29	59	1615
30	61	1612
31	63	1611
32	65	1606
33	67	1600
34	69	1595
35	70	1592
36	72	1583
37	74	1579
38	76	1579
39	78	1577
40	80	1573
41	82	1567
42	84	1566
43	86	1564
44	87	1558
45	89	1555
46	91	1554
47	93	1552
48	95	1548
49	97	1545
50	99	1541
51	101	1539
52	102	1534
53	104	1531
54	106	1527
55	108	1526
56	110	1522
57	112	1519
58	113	1515
59	115	1513
60	117	1510
61	119	1507
62	121	1504
63	123	1502
64	125	1498
65	127	1497
66	128	1490
67	130	1488
68	132	1487
69	134	1482
70	135	1479
71	137	1474
72	139	1472
73	141	1473
74	143	1473
75	145	1473
76	147	1472
77	149	1469
78	150	1456
79	152	1453
80	153	1449
81	155	1446
82	157	1443
83	159	1441
84	160	1437
85	162	1436
86	164	1434
87	166	1431
88	168	1428
89	170	1426
90	172	1424
91	174	1422
92	176	1421
93	178	1421
94	180	1422
95	182	1419
96	183	1416
97	185	1414
98	187	1413
99	189	1411
100	191	1409
101	193	1408
102	195	1407
103	197	1405
104	199	1403
105	201	1402
106	203	1401
107	205	1399
108	207	1399
109	209	1398
110	211	1398
111	213	1397
112	215	1396
113	218	1397
114	220	1396
115	222	1395
116	224	1394
117	226	1392
118	228	1390
119	230	1389
120	232	1390
121	234	1389
122	236	1387
123	238	1385
124	240	1384
125	243	1389
126	245	1388
127	249	1394
128	250	1389
129	252	1385
130	254	1383
131	255	1380
132	262	1401
133	264	1400
134	266	1399
135	268	1398
136	270	1397
137	272	1395
138	274	1393
139	276	1392
140	278	1390
141	281	1389
142	283	1387
143	285	1385
144	287	1384
145	289	1382
146	291	1380
147	292	1377
148	295	1376
149	296	1373
150	298	1370
151	300	1367
152	302	1364
153	303	1361
154	305	1358
155	307	1356
156	309	1355
157	311	1352
158	313	1351
159	315	1348
160	317	1345
161	319	1343
