Polymer,SMILES,P_MW,P_wt%,surface tension (mN/m),pore maker,pore maker molecular weight (Da),pore maker wt% (pore maker to total weight),additive,additive wt% (additive to polymer),organic solvent,solubility parameter (MPa1/2),TMP (bar),organic compound,oraganic compound concentration (mg/L),organic compound size (Da),foulant,foulant concentration (mg/L),water permeability (LMH/bar),organic compound removal (%),flux decline ratio (%),flux recovery ratio (%) ,reversible fouling ratio (%),irreversible fouling ratio(%)
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,,15,,PEG,1000,6,GO-1,0,DMAc,22.7,1,BSA,500,68000,BSA,500,132.2,96.8,24,50,26,50
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,,15,,PEG,1000,6,GO-1,0.5,DMAc,22.7,1,BSA,500,68000,BSA,500,175,96,55,80,25,20
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,,15,,PEG,1000,6,GO-1,1,DMAc,22.7,1,BSA,500,68000,BSA,500,200,95,63.5,82,18.5,18
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,,15,,PEG,1000,6,GO-1,1.5,DMAc,22.7,1,BSA,500,68000,BSA,500,231.7,93,65.5,83.5,18,16.5
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,,15,,PEG,1000,6,GO-1,2,DMAc,22.7,1,BSA,500,68000,BSA,500,250,91,37,62,25,38
Polyvinylidene fluoride,*CC(*)(F)F,,17,29.2,none,,0,MnO2 NPs,0.5,NMP,22.9,3.45,BSA,1000,,BSA,1000,21.16,88.7,62.5,81.5,19,18.5
Polyvinylidene fluoride,*CC(*)(F)F,,16.5,29.2,none,,0,MnO2 NPs,1,NMP,22.9,3.45,BSA,1000,,BSA,1000,28.4,91.4,65.5,87.5,22,12.5
Polyvinylidene fluoride,*CC(*)(F)F,,17,29.2,none,,0,MnO2 NPs,0.5,NMP,22.9,3.45,HA,1000,,HA,1000,21.16,87.4,67,77,10,23
Polyvinylidene fluoride,*CC(*)(F)F,,16.5,29.2,none,,0,MnO2 NPs,1,NMP,22.9,3.45,HA,1000,,HA,1000,28.4,90.6,67,82,15,18
Polyvinylidene fluoride,*CC(*)(F)F,,15.5,29.2,none,,0,MnO2 NPs,2,NMP,22.9,3.45,HA,1000,,HA,1000,31.88,95.6,66.5,87.5,21,12.5
Polyvinylidene fluoride,*CC(*)(F)F,475637,20,29.2,none,,0,PVP-g-MMT,0,DMAC,22.7,1,BSA,200,68000,BSA,200,15,99,42.76,60,17.24,40
Polyvinylidene fluoride,*CC(*)(F)F,475637,20,29.2,none,,0,PVP-g-MMT,1,DMAC,22.7,1,BSA,200,68000,BSA,200,53,90,49.37,86,36.63,14
Polyvinylidene fluoride,*CC(*)(F)F,475637,20,29.2,none,,0,PVP-g-MMT,2,DMAC,22.7,1,BSA,200,68000,BSA,200,70,95,32.2,84,51.8,16
Polyvinylidene fluoride,*CC(*)(F)F,475637,20,29.2,none,,0,PVP-g-MMT,4,DMAC,22.7,1,BSA,200,68000,BSA,200,74,80,43.62,81,37.38,19
Polyvinylidene fluoride,*CC(*)(F)F,,13.3,29.2,none,,0,CNC-1,0.7,DMF,24.8,1,BSA,200,68000,BSA,200,25,89,58,80,22,20
Polyvinylidene fluoride,*CC(*)(F)F,,12.6,29.2,none,,0,CNC-1,1.4,DMF,24.8,1,BSA,200,68000,BSA,200,65,78,44.5,82.5,38,17.5
Polyvinylidene fluoride,*CC(*)(F)F,,11.2,29.2,none,,0,CNC-1,2.8,DMF,24.8,1,BSA,200,68000,BSA,200,130,57,41,83,42,17
Polyvinylidene fluoride,*CC(*)(F)F,,9.8,29.2,none,,0,CNC-1,4.2,DMF,24.8,1,BSA,200,68000,BSA,200,207,40,35.8,83.8,48,16.2
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.05,DMAc,22.7,3,BSA,250,66000,BSA,250,31,97.4,53.7,68,14.3,32
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.1,DMAc,22.7,3,BSA,250,66000,BSA,250,32,97.3,42.3,78,35.7,22
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.25,DMAc,22.7,3,BSA,250,66000,BSA,250,37,97.6,78,88,10,12
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.5,DMAc,22.7,3,BSA,250,66000,BSA,250,50,98.4,57,82,25,18
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,1,DMAc,22.7,3,BSA,250,66000,BSA,250,90.4,97.3,24,74,50,26
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,2,DMAc,22.7,3,BSA,250,66000,BSA,250,42,97.4,65,90,25,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.05,DMAc,22.7,3,Organge Ⅱ,250,350.32,BSA,250,31,25,53.7,68,14.3,32
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.1,DMAc,22.7,3,Organge Ⅱ,250,350.32,BSA,250,32,30,42.3,78,35.7,22
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.25,DMAc,22.7,3,Organge Ⅱ,250,350.32,BSA,250,37,32,78,88,10,12
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.5,DMAc,22.7,3,Organge Ⅱ,250,350.32,BSA,250,50,36,57,82,25,18
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,1,DMAc,22.7,3,Organge Ⅱ,250,350.32,BSA,250,90.4,52,24,74,50,26
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,2,DMAc,22.7,3,Organge Ⅱ,250,350.32,BSA,250,42,34,65,90,25,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.05,DMAc,22.7,3,Reactive yellow 168,250,976.3,BSA,250,31,26,53.7,68,14.3,32
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.1,DMAc,22.7,3,Reactive yellow 168,250,976.3,BSA,250,32,32,42.3,78,35.7,22
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.25,DMAc,22.7,3,Reactive yellow 168,250,976.3,BSA,250,37,36,78,88,10,12
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,0.5,DMAc,22.7,3,Reactive yellow 168,250,976.3,BSA,250,50,42,57,82,25,18
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,1,DMAc,22.7,3,Reactive yellow 168,250,976.3,BSA,250,90.4,58,24,74,50,26
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,21,42,PVP,58000,1,g-C3N4-1,2,DMAc,22.7,3,Reactive yellow 168,250,976.3,BSA,250,42,37,65,90,25,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,14,42,none,,0,g-C3N4-2,0,DMSO,26.7,3,BSA,250,66000,BSA,250,44.5,45.5,29.4,52.4,23,47.6
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,14,42,none,,0,g-C3N4-2,0.5,DMSO,26.7,3,BSA,250,66000,BSA,250,45.83,80,30,66,36,34
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,14,42,none,,0,g-C3N4-2,1,DMSO,26.7,3,BSA,250,66000,BSA,250,83.33,92,18,80,62,20
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,14,42,none,,0,g-C3N4-2,2,DMSO,26.7,3,BSA,250,66000,BSA,250,84.9,98.5,16.3,86.3,70,13.7
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,,5,PMO-SO3H-g-SiO2-NR,0,DMF,24.8,1,BSA,1000,66000,BSA,1000,150,99,34.5,57,22.5,43
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,,5,PMO-SO3H-g-SiO2-NR,1,DMF,24.8,1,BSA,1000,66000,BSA,1000,225,99,39,70,31,30
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,,5,PMO-SO3H-g-SiO2-NR,3,DMF,24.8,1,BSA,1000,66000,BSA,1000,353,98.6,43,79,36,21
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,,5,PMO-SO3H-g-SiO2-NR,5,DMF,24.8,1,BSA,1000,66000,BSA,1000,330,98.8,48.5,87,38.5,13
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,20,42,PVP,,5,PMO-g-SiO2,3,DMF,24.8,1,BSA,1000,66000,BSA,1000,395,92,36,68,32,32
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,14,63.55,PEG,600,1.5,none,0,DMSO,26.7,1,BSA,1000,67000,BSA,1000,308.7,97.8,50.3,64,5.3,36
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,14,63.55,PEG,600,1.5,none,0,DMAc,22.7,1,BSA,1000,67000,BSA,1000,195.8,89.9,27.5,65.8,7.1,34.2
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,10,63.55,PVP,,3,TiO2 NPs-1,1,NMP,22.9,1,BSA,1000,67000,BSA,1000,213.2,92.8,8.3,90.4,9.2,9.6
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,10,63.55,PVP,,3,TiO2 NPs-1,2,NMP,22.9,1,BSA,1000,67000,BSA,1000,329.7,91.9,20.6,89.7,17.1,10.3
Cellulose acetate,CC(=O)OC[C@H]1O[C@@H](O*)[C@H](OC(C)=O)[C@@H](O)[C@@H]1O*,,10,63.55,PVP,,3,TiO2 NPs-1,4,NMP,22.9,1,BSA,1000,67000,BSA,1000,511,86,30.8,81.9,7.8,18.1
Polyvinylidene fluoride,*CC(*)(F)F,470000,14,29.2,none,,0,rGO,0,DMF,24.8,2.5,BSA,500,68000,BSA,500,16.8,74,22.9,38.9,16,61.1
Polyvinylidene fluoride,*CC(*)(F)F,470000,14,29.2,none,,0,rGO,1.5,DMF,24.8,2.5,BSA,500,68000,BSA,500,32,86,40.7,71.7,31,28.3
Polyvinylidene fluoride,*CC(*)(F)F,470000,14,29.2,none,,0,PDAAQ,1.5,DMF,24.8,2.5,BSA,500,68000,BSA,500,57.6,78,29.5,82.5,53,17.5
Polyvinylidene fluoride,*CC(*)(F)F,470000,14,29.2,none,,0,PDAAQ-rGO,1.5,DMF,24.8,2.5,BSA,500,68000,BSA,500,68,77,31.8,86.8,55,13.2
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,53000,15,,none,,0,CuO-gC3N4,0,NMP,22.9,0.689,BSA,1000,68000,BSA,1000,210.4,96,25,54,29,46
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,53000,15,,none,,0,CuO-gC3N4,0.5,NMP,22.9,0.689,BSA,1000,68000,BSA,1000,307.7,96,62,79,17,21
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,53000,15,,none,,0,CuO-gC3N4,0.7,NMP,22.9,0.698,BSA,1000,68000,BSA,1000,254,96,61,81,20,19
Polyphenylsulfone,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(C)cc4)cc3)cc2)cc1,53000,15,,none,,0,CuO-gC3N4,1,NMP,22.9,0.689,BSA,1000,68000,BSA,1000,217.7,97,53,82,29,18
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,12,46.6,none,,0,ZIF-8,0,NMP,22.9,2,BSA,500,68000,BSA,500,105,99,23,65,42,35
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,12,46.6,none,,0,hZIF-8,2,NMP,22.9,2,BSA,500,68000,BSA,500,300,98.2,16.1,81.1,65,18.9
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,,12,46.6,none,,0,ZIF-8,2,NMP,22.9,2,BSA,500,68000,BSA,500,125,97.5,13,55,42,45
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,75000,20,42,none,,0,Cysteine-GO,0,DMAc,22.7,2,BSA,1000,66000,BSA,1000,26.25,96,42.5,47.5,5,52.5
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,75000,20,42,none,,0,Cysteine-GO,0.1,DMAc,22.7,2,BSA,1000,66000,BSA,1000,37.5,97,50,70,20,30
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,75000,20,42,none,,0,Cysteine-GO,1,DMAc,22.7,2,BSA,1000,66000,BSA,1000,45,98.8,71,85,14,15
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,75000,20,42,none,,0,Cysteine-GO,2,DMAc,22.7,2,BSA,1000,66000,BSA,1000,52.5,96.2,57,65,8,35
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,18,42,PVP,10000,1.5,ZnO,0,DMAc,22.7,1,HA,50,,HA,50,10.5,95.6,65.45,74.02,8.57,25.98
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,18,42,PVP,10000,1.5,ZnO,1,DMAc,22.7,1,HA,50,,HA,50,15.5,92.1,59.93,70.93,11,29.07
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,18,42,PVP,10000,1.5,MWCNT,1,DMAc,22.7,1,HA,50,,HA,50,38.4,86,73.11,87.95,14.84,12.05
Polyetherimide,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5C4=O)cc3)cc2)cc1,,17,,none,,0,MoS2-2,0.5,NMP,22.9,4.14,HA,1000,,HA,1000,25.3,88.3,79.5,87.5,8,12.5
Polyetherimide,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5C4=O)cc3)cc2)cc1,,16.5,,none,,0,MoS2-2,1,NMP,22.9,4.14,HA,1000,,HA,1000,52.5,92.4,81,90.2,9.2,9.8
Polyetherimide,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5C4=O)cc3)cc2)cc1,,15.5,,none,,0,MoS2-2,2,NMP,22.9,4.14,HA,1000,,HA,1000,29.3,90.3,80.2,87.8,7.6,12.2
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,CNT,0,NMP,22.9,1,BSA,500,66000,BSA,500,298.85,80,10.38,50.38,40,49.62
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,CNT,1,NMP,22.9,1,BSA,500,66000,BSA,500,360.43,85,12.74,72.74,60,27.26
Polyvinylidene fluoride,*CC(*)(F)F,,15,29.2,PVP,40000,1,Sulfonated-CNT,1,NMP,22.9,1,BSA,500,66000,BSA,500,680,90,13.52,83.52,70,16.48
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,19,42,PVP,,1,SLS-CNT,0,DMAc,22.7,1,BSA,1000,68000,BSA,1000,170,97.8,47,62,15,38
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,19,42,PVP,,1,SLS-CNT,1.5,DMAc,22.7,1,BSA,1000,68000,BSA,1000,250,96.7,41,58.5,17.5,41.5
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,19,42,PVP,,1,SLS-CNT,0.5,DMAc,22.7,1,BSA,1000,68000,BSA,1000,390,96.5,45.5,78,32.5,22
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,19,42,PVP,,1,SLS-CNT,1,DMAc,22.7,1,BSA,1000,68000,BSA,1000,450,96,47,84,37,16
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,19,42,PVP,,1,SLS-CNT,1.5,DMAc,22.7,1,BSA,1000,68000,BSA,1000,495,95.8,49,90,41,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,HAp/AC,0,NMP,22.9,1,HA,100,,HA,100,143,59.3,42.6,67,7,33
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,0.5,NMP,22.9,1,HA,100,,HA,100,212.3,72.5,35.2,76.2,11.5,23.8
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,1,NMP,22.9,1,HA,100,,HA,100,352,85,53.8,82,34.6,18
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,2,NMP,22.9,1,HA,100,,HA,100,475,91,55.1,87.5,44,12.5
